name,         tag,         2020-04-14 20:00, 2020-04-16 15:00, 2020-04-19 13:00, 2020-04-23 09:00, 2020-04-25 11:00
Fox,          red,         0.0,              36.4,             52.0,             89.8,             112.3
Cherry,       blue,        0.0,              38.7,             51.5,             77.3,             97.3
Survivor,     white,       0.0,              42.9,             63.1,             94.04,            117.3 
Mango,        yellow,      0.0,              42.5,             61.5,             95.7,             122.3
Snoomy,       blue-yellow, 0.0,              34.4,             39.5,             68.0,             86.1
Smash,        red-yellow,  0.0,              32.2,             41.2,             63.6,             72.4
Chicky,       blue,        0.0,              32.7,             40.0,             67.9,             93.1
Grape(light), blue-red,    0.0,              35.5,             29.8,             54.4,             70.8
Chirip(dark), white,       0.0,              37.4,             52.8,             85.1,             106.1
Covid,        red,         0.0,              36.5,             41.0,             71.2,             91.8
Nineteen,     -,           0.0,              0.0,              36.8,             62.8,             78.5
